Incidents of Assault from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
New South Wales,Stable,62864,822.0,63215,813.7,63105,798.8,64320,805.2,65804,823.8
Liverpool,Stable,1609,774.2,1781,834.3,1624,740.8,1681,752.8,1764,790.0
Albury,Stable,637,1232.8,610,1163.9,604,1135.6,678,1261.0,693,1288.9
Armidale Regional,Stable,392,1296.9,364,1197.1,397,1295.6,390,1270.1,393,1279.8
Ballina,Stable,247,581.3,281,651.4,304,695.8,264,597.2,239,540.6
Balranald,n.c.,22,n.c.,18,n.c.,15,n.c.,26,n.c.,23,n.c.
Bathurst Regional,Up 3.7% per year,420,1004.1,441,1039.3,488,1137.0,505,1168.8,502,1161.9
Bayside,Up 3.9% per year,957,595.4,1001,602.7,1022,596.0,1147,657.8,1209,693.3
Bega Valley,Stable,249,737.1,249,732.3,215,628.8,184,535.7,226,658.0
Bellingen,Stable,64,494.5,75,579.1,85,656.1,74,570.9,96,740.6
Berrigan,Stable,38,443.0,28,324.6,31,357.0,41,470.9,40,459.4
Blacktown,Up 1.1% per year,3672,1074.7,3782,1078.6,3829,1063.1,4064,1108.8,4118,1123.5
Bland,Stable,43,713.5,43,714.8,39,651.4,38,634.9,29,484.5
Blayney,Stable,41,559.6,41,558.1,58,789.3,54,735.5,43,585.7
Blue Mountains,Stable,426,540.1,475,602.2,529,668.9,419,528.6,370,466.8
Bogan,n.c.,43,n.c.,42,n.c.,49,n.c.,33,n.c.,33,n.c.
Bourke,n.c.,199,n.c.,149,n.c.,151,n.c.,172,n.c.,160,n.c.
Brewarrina,n.c.,85,n.c.,81,n.c.,76,n.c.,83,n.c.,91,n.c.
Broken Hill,Up 9.3% per year,304,1662.4,297,1645.2,372,2084.7,373,2103.3,420,2368.3
Burwood,Down 3.7% per year,193,507.7,210,542.2,219,554.8,153,383.6,174,436.2
Byron,Stable,340,1031.3,348,1036.8,391,1144.4,355,1026.8,375,1084.6
Cabonne,Stable,80,591.4,49,360.8,51,374.0,76,555.6,62,453.2
Camden,Up 2.9% per year,416,550.7,413,504.2,515,577.9,576,611.7,581,617.0
Campbelltown,Stable,1677,1051.7,1684,1037.3,1530,924.0,1634,971.8,1724,1025.3
Canada Bay,Stable,276,303.2,253,272.1,235,248.9,266,279.5,272,285.8
Canterbury-Bankstown,Down 2.9% per year,2510,701.6,2477,681.2,2256,610.3,2210,591.0,2332,623.6
Carrathool,n.c.,37,n.c.,24,n.c.,24,n.c.,32,n.c.,21,n.c.
Central Coast,Stable,3089,924.2,3282,972.9,3213,944.7,3250,950.2,3154,922.1
Central Darling,n.c.,135,n.c.,142,n.c.,120,n.c.,134,n.c.,146,n.c.
Cessnock,Down 6.4% per year,640,1140.7,641,1125.9,617,1064.8,543,918.8,518,876.5
Clarence Valley,Stable,509,987.0,510,988.1,510,988.2,467,904.2,483,935.2
Cobar,Stable,85,1774.8,83,1742.9,77,1627.9,81,1715.4,69,1461.2
Coffs Harbour,Stable,904,1221.7,948,1265.3,1050,1384.2,881,1150.9,923,1205.7
Coolamon,n.c.,18,412.0,25,569.4,25,569.7,20,457.9,20,457.9
Coonamble,Up 14.7% per year,111,2719.8,91,2248.3,109,2705.0,133,3313.4,189,4708.5
Cootamundra-Gundagai,Stable,103,911.6,87,771.3,102,906.5,125,1110.1,95,843.7
Cowra,Down 9.2% per year,198,1569.0,160,1262.7,145,1140.1,136,1065.2,136,1065.2
Cumberland,Stable,1729,777.7,1641,721.9,1656,710.6,1739,734.1,1794,757.3
Dubbo Regional,Up 9.9% per year,755,1480.5,823,1595.0,821,1564.3,1101,2068.0,1150,2160.0
Dungog,Stable,40,442.5,55,602.9,52,563.0,53,567.1,55,588.5
Edward River,Stable,102,1132.7,84,935.5,83,925.6,86,956.1,108,1200.7
Eurobodalla,Stable,367,971.4,348,916.4,389,1019.6,355,927.2,312,814.9
Fairfield,Stable,1402,687.1,1418,687.1,1404,671.5,1403,666.2,1327,630.1
Federation,Stable,92,738.4,62,498.1,59,473.8,87,698.1,77,617.9
Forbes,Stable,144,1474.0,149,1515.8,127,1285.8,157,1584.3,158,1594.3
Georges River,Stable,846,557.9,821,532.7,773,492.6,849,535.9,854,539.1
Gilgandra,Stable,57,1316.3,57,1330.5,60,1414.0,77,1822.1,56,1325.1
Glen Innes Severn,Stable,153,1713.5,174,1948.3,157,1760.3,128,1436.9,104,1167.5
Goulburn Mulwaree,Stable,261,871.9,231,761.2,274,893.7,224,726.0,266,862.2
Greater Hume Shire,Stable,35,334.8,35,332.1,34,319.8,36,336.9,48,449.2
Griffith,Down 4.2% per year,465,1773.6,396,1499.1,354,1327.0,356,1324.3,401,1491.7
Gunnedah,Stable,159,1276.4,165,1317.9,156,1237.1,127,1003.1,164,1295.3
Gwydir,Stable,37,697.1,33,619.9,35,657.1,40,747.8,39,729.1
Hawkesbury,Stable,540,818.1,478,719.7,487,729.2,455,678.3,479,714.0
Hay,n.c.,38,n.c.,52,n.c.,38,n.c.,43,n.c.,45,n.c.
Hilltops,Stable,180,959.5,167,890.2,202,1076.2,204,1086.1,183,974.3
Hornsby,Up 3.9% per year,396,270.4,422,285.2,344,230.0,447,296.5,475,315.1
Hunters Hill,Stable,38,260.8,41,279.2,60,405.7,66,442.7,59,395.7
Inner West,Down 5.0% per year,1200,633.7,1076,560.0,1117,571.3,1061,535.8,1022,516.1
Inverell,Stable,251,1498.3,215,1278.5,222,1318.9,246,1460.5,266,1579.2
Junee,Down 8.9% per year,71,1116.0,68,1058.2,32,488.4,52,784.2,51,769.1
Kempsey,Stable,439,1493.6,427,1449.1,439,1483.8,413,1392.2,398,1341.6
Kiama,Down 15.8% per year,93,423.4,78,351.5,68,301.0,69,299.9,49,213.0
Ku-Ring-Gai,Up 8.3% per year,158,129.9,164,133.2,158,126.5,195,154.7,225,178.5
Kyogle,Stable,71,773.3,81,891.0,84,938.4,110,1240.1,65,732.8
Lachlan,Down 10.3% per year,150,2333.8,106,1676.0,113,1821.0,88,1430.7,93,1511.9
Lake Macquarie,Stable,1379,684.3,1426,703.7,1530,750.4,1469,716.9,1478,721.3
Lane Cove,Stable,74,200.8,92,242.2,91,233.3,79,200.1,93,235.5
Leeton,Stable,131,1148.1,126,1104.1,137,1198.9,139,1215.2,160,1398.8
Lismore,Stable,532,1203.9,486,1102.8,472,1075.0,525,1197.5,486,1108.5
Lithgow,Stable,201,938.2,213,990.3,239,1107.0,246,1137.0,243,1123.1
Liverpool Plains,Stable,88,1122.3,98,1248.0,81,1028.2,77,975.5,95,1203.6
Lockhart,n.c.,27,864.1,14,438.0,26,798.9,14,424.9,15,455.2
Lord Howe Island,n.c.,0,n.c.,7,n.c.,1,n.c.,4,n.c.,4,n.c.
Maitland,Stable,848,1089.5,793,997.0,854,1045.7,866,1040.8,784,942.3
Mid-Coast,Stable,905,991.8,905,983.8,868,936.1,851,912.2,908,973.3
Mid-Western Regional,Stable,266,1089.3,257,1044.2,250,1003.8,270,1076.3,293,1168.0
Moree Plains,Down 6.2% per year,428,3122.0,446,3282.6,418,3111.9,336,2516.9,322,2412.0
Mosman,Down 7.2% per year,96,319.1,75,247.1,93,303.3,70,226.7,73,236.4
Murray River,Stable,47,398.7,59,496.2,41,340.9,48,396.1,57,470.4
Murrumbidgee,Stable,28,718.1,39,989.9,43,1086.6,34,858.4,41,1035.1
Muswellbrook,Stable,190,1155.6,196,1190.9,208,1266.1,202,1233.0,206,1257.4
Nambucca,Stable,199,1017.7,245,1249.5,199,1009.0,290,1466.6,244,1234.0
Narrabri,Stable,185,1377.1,191,1431.1,175,1318.8,150,1133.7,168,1269.7
Narrandera,Up 22.9% per year,37,619.9,75,1261.6,61,1028.0,77,1298.3,84,1416.3
Narromine,Stable,130,1953.2,105,1589.2,104,1580.8,133,2025.3,75,1142.1
Newcastle,Stable,1775,1109.5,1906,1182.6,1758,1079.4,1753,1068.2,1841,1121.8
North Sydney,Down 5.2% per year,299,420.5,342,473.9,329,448.4,261,351.9,252,339.8
Northern Beaches,Up 3.5% per year,956,363.0,992,372.2,1003,372.1,1141,420.6,1131,416.9
Oberon,Stable,46,862.5,34,633.9,42,778.6,48,887.6,33,610.2
Orange,Stable,593,1448.9,522,1264.4,531,1275.3,540,1284.0,651,1547.9
Parkes,Stable,198,1324.8,245,1641.9,208,1395.2,187,1255.5,187,1255.5
Parramatta,Stable,1524,664.5,1486,627.1,1593,648.7,1709,680.0,1707,679.2
Penrith,Up 4.6% per year,2063,1038.6,2111,1042.3,2209,1070.9,2294,1096.5,2601,1243.2
Port Macquarie-Hastings,Stable,613,773.2,580,721.3,554,676.0,556,668.8,614,738.6
Port Stephens,Stable,586,831.5,662,929.1,617,856.5,653,898.3,673,925.8
Queanbeyan-Palerang Regional,Stable,318,554.7,348,599.7,309,523.0,325,542.0,328,547.0
Randwick,Up 3.1% per year,869,589.4,919,613.8,949,621.3,953,617.8,1028,666.4
Richmond Valley,Down 4.7% per year,305,1316.3,318,1366.0,270,1156.4,273,1166.7,254,1085.5
Ryde,Up 5.4% per year,428,358.8,485,397.2,448,357.5,543,426.1,565,443.3
Shellharbour,Stable,525,753.0,481,681.6,425,595.9,404,559.2,482,667.2
Shoalhaven,Stable,899,890.7,818,800.2,822,794.4,902,864.2,813,779.0
Singleton,Stable,167,708.1,175,743.0,217,924.2,192,819.7,164,700.2
Snowy Monaro Regional,Stable,109,531.9,128,622.1,138,667.4,130,627.0,171,824.8
Snowy Valleys,Stable,158,1079.8,143,979.5,148,1017.1,119,818.9,127,873.9
Strathfield,Stable,263,632.7,253,591.6,289,654.6,295,653.5,268,593.7
Sutherland Shire,Up 5.9% per year,1072,475.2,1127,497.0,1120,491.1,1107,483.0,1368,596.8
Sydney,Down 2.3% per year,4502,2081.7,4514,2003.8,4582,1949.9,4559,1897.8,4549,1893.6
Tamworth Regional,Stable,715,1180.3,761,1243.5,760,1230.4,760,1222.7,799,1285.5
Temora,Stable,39,631.8,44,707.6,54,864.5,51,812.9,50,796.9
Tenterfield,Stable,82,1222.6,74,1107.0,75,1127.0,87,1310.6,53,798.4
The Hills Shire,Up 7.1% per year,448,280.0,453,275.8,480,284.1,449,260.3,636,368.8
Tweed,Stable,624,673.8,640,680.3,601,631.0,666,693.0,620,645.1
Unincorporated Far West,n.c.,0,n.c.,3,n.c.,1,n.c.,5,n.c.,4,n.c.
Upper Hunter Shire,Up 7.3% per year,65,451.7,76,530.5,66,462.9,99,696.2,85,597.7
Upper Lachlan Shire,n.c.,27,345.3,27,343.3,24,302.7,18,226.1,19,238.7
Uralla,n.c.,18,291.2,35,569.8,36,590.8,28,461.9,29,478.4
Wagga Wagga,Up 3.7% per year,797,1255.0,808,1262.1,830,1287.8,841,1297.4,939,1448.6
Walcha,n.c.,25,799.1,24,764.3,17,540.7,32,1021.7,23,734.4
Walgett,Stable,281,4394.0,210,3345.2,254,4126.0,227,3751.4,225,3718.4
Warren,n.c.,63,n.c.,60,n.c.,56,n.c.,69,n.c.,67,n.c.
Warrumbungle Shire,Stable,108,1124.7,86,902.1,96,1016.9,102,1085.2,83,883.1
Waverley,Stable,584,816.5,564,779.0,495,672.5,489,659.8,500,674.6
Weddin,n.c.,17,461.5,16,437.2,19,522.0,13,357.5,14,385.0
Wentworth,Stable,114,1652.2,91,1310.5,147,2101.6,111,1576.3,122,1732.5
Willoughby,Stable,237,310.0,238,303.3,266,332.8,258,321.1,263,327.4
Wingecarribee,Stable,220,455.3,249,506.2,210,420.9,190,376.3,199,394.1
Wollondilly,Down 8.6% per year,312,637.9,251,500.8,278,541.1,250,478.7,233,446.1
Wollongong,Down 3.7% per year,1687,807.5,1621,767.7,1556,727.1,1503,695.6,1499,693.8
Woollahra,Stable,238,413.4,215,371.1,235,401.0,220,373.1,224,379.9
Yass Valley,Stable,71,432.3,66,397.3,62,368.5,64,377.5,59,348.0
