Incidents of Robbery from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
New South Wales,Stable,2531,33.1,2378,30.6,2500,31.6,2542,31.8,2473,31.0
Liverpool,Stable,72,34.7,70,32.8,98,44.7,75,33.6,99,44.3
Albury,n.c.,14,27.1,19,36.3,16,30.0,25,46.5,33,61.4
Armidale Regional,n.c.,19,62.9,15,49.2,18,58.7,14,45.6,18,58.6
Ballina,n.c.,8,18.9,4,9.3,9,20.6,3,6.8,10,22.6
Balranald,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Bathurst Regional,n.c.,20,47.8,10,23.6,14,32.6,11,25.5,19,44.0
Bayside,Stable,37,23.1,56,33.7,50,29.2,49,28.1,44,25.2
Bega Valley,n.c.,0,0.0,4,11.7,1,2.9,3,8.7,2,5.8
Bellingen,n.c.,0,0.0,1,7.7,0,0.0,2,15.4,1,7.7
Berrigan,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Blacktown,Down 7.0% per year,290,84.9,252,71.9,228,63.2,246,67.1,233,63.6
Bland,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Blayney,n.c.,0,0.0,2,27.2,0,0.0,2,27.2,0,0.0
Blue Mountains,n.c.,26,33.0,11,14.0,15,19.0,10,12.6,5,6.3
Bogan,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Bourke,n.c.,4,n.c.,4,n.c.,1,n.c.,1,n.c.,3,n.c.
Brewarrina,n.c.,0,n.c.,2,n.c.,0,n.c.,2,n.c.,0,n.c.
Broken Hill,n.c.,3,16.3,3,16.6,6,33.6,6,33.8,9,50.7
Burwood,n.c.,18,47.5,12,30.9,29,73.2,26,65.2,12,30.1
Byron,n.c.,10,30.4,4,11.9,8,23.4,0,0.0,5,14.5
Cabonne,n.c.,0,0.0,1,7.4,0,0.0,0,0.0,2,14.6
Camden,n.c.,8,10.7,9,10.9,9,10.1,6,6.4,8,8.5
Campbelltown,Stable,69,43.2,68,41.9,82,49.4,72,42.8,87,51.7
Canada Bay,n.c.,24,26.4,13,14.0,19,20.1,11,11.6,18,18.9
Canterbury-Bankstown,Stable,184,51.5,120,33.0,139,37.6,135,36.1,147,39.3
Carrathool,n.c.,1,n.c.,0,n.c.,0,n.c.,1,n.c.,0,n.c.
Central Coast,Stable,91,27.2,67,19.9,100,29.4,80,23.4,90,26.3
Central Darling,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Cessnock,n.c.,21,37.4,17,30.0,15,26.0,16,27.1,13,22.0
Clarence Valley,n.c.,11,21.3,13,25.2,4,7.8,7,13.6,12,23.2
Cobar,n.c.,0,0.0,2,41.9,1,21.2,0,0.0,0,0.0
Coffs Harbour,Stable,26,35.2,20,26.7,36,47.5,51,66.6,35,45.7
Coolamon,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,1,22.9
Coonamble,n.c.,2,48.9,3,74.2,3,74.5,2,49.8,1,24.9
Cootamundra-Gundagai,n.c.,2,17.7,0,0.0,1,8.9,0,0.0,1,8.9
Cowra,n.c.,1,7.9,4,31.6,3,23.5,2,15.7,3,23.5
Cumberland,Stable,115,51.8,114,50.1,128,55.0,103,43.5,118,49.8
Dubbo Regional,n.c.,18,35.3,24,46.5,14,26.7,31,58.2,18,33.8
Dungog,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Edward River,n.c.,0,0.0,0,0.0,0,0.0,3,33.4,1,11.1
Eurobodalla,n.c.,3,8.0,7,18.4,6,15.7,7,18.3,10,26.1
Fairfield,Stable,108,53.0,114,55.2,119,56.9,110,52.2,101,48.0
Federation,n.c.,0,0.0,2,16.1,0,0.0,1,8.0,1,8.0
Forbes,n.c.,0,0.0,0,0.0,0,0.0,1,10.1,2,20.2
Georges River,Stable,45,29.7,32,20.8,39,24.9,50,31.6,41,25.9
Gilgandra,n.c.,1,23.3,2,46.5,2,47.1,0,0.0,1,23.7
Glen Innes Severn,n.c.,0,0.0,4,44.8,5,56.1,1,11.2,7,78.6
Goulburn Mulwaree,n.c.,1,3.3,2,6.6,3,9.8,3,9.7,5,16.2
Greater Hume Shire,n.c.,0,0.0,1,9.5,1,9.4,0,0.0,0,0.0
Griffith,n.c.,9,34.2,12,45.5,15,56.3,9,33.5,10,37.2
Gunnedah,n.c.,1,8.0,0,0.0,2,15.8,1,7.9,0,0.0
Gwydir,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,1,18.7
Hawkesbury,n.c.,8,12.1,14,21.1,10,15.0,9,13.4,6,8.9
Hay,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,3,n.c.
Hilltops,n.c.,2,10.7,2,10.7,3,16.0,2,10.6,1,5.3
Hornsby,n.c.,10,6.8,8,5.4,16,10.7,18,11.9,7,4.6
Hunters Hill,n.c.,0,0.0,3,20.5,1,6.8,0,0.0,1,6.7
Inner West,Down 8.4% per year,64,33.8,71,36.9,71,36.3,66,33.3,47,23.7
Inverell,n.c.,2,12.0,1,5.9,1,5.9,5,29.7,0,0.0
Junee,n.c.,1,15.8,1,15.6,0,0.0,1,15.1,0,0.0
Kempsey,n.c.,26,88.5,13,44.1,18,60.8,19,64.0,19,64.0
Kiama,n.c.,3,13.7,2,9.0,3,13.4,3,13.0,1,4.3
Ku-Ring-Gai,n.c.,5,4.1,5,4.1,4,3.2,23,18.2,15,11.9
Kyogle,n.c.,1,10.9,0,0.0,1,11.3,2,22.5,2,22.5
Lachlan,n.c.,2,31.0,0,0.0,0,0.0,4,65.0,3,48.8
Lake Macquarie,Stable,46,22.8,51,25.2,42,20.6,40,19.5,55,26.8
Lane Cove,n.c.,2,5.5,2,5.2,2,5.1,5,12.7,2,5.1
Leeton,n.c.,0,0.0,4,35.1,3,26.2,0,0.0,3,26.2
Lismore,n.c.,14,31.7,15,34.0,12,27.3,17,38.8,20,45.6
Lithgow,n.c.,3,14.0,7,32.6,3,13.9,1,4.6,3,13.9
Liverpool Plains,n.c.,0,0.0,0,0.0,0,0.0,1,12.7,0,0.0
Lockhart,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,1,30.3
Maitland,n.c.,25,32.2,26,32.7,20,24.5,24,28.8,14,16.8
Mid-Coast,n.c.,15,16.5,20,21.7,28,30.2,22,23.6,15,16.1
Mid-Western Regional,n.c.,2,8.2,1,4.1,1,4.0,3,12.0,3,12.0
Moree Plains,n.c.,11,80.2,18,132.6,30,223.2,6,44.9,10,74.9
Mosman,n.c.,1,3.3,4,13.1,3,9.8,11,35.6,4,13.0
Murray River,n.c.,2,17.0,3,25.1,0,0.0,3,24.8,0,0.0
Murrumbidgee,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Muswellbrook,n.c.,8,48.7,2,12.1,9,54.7,2,12.2,1,6.1
Nambucca,n.c.,5,25.6,5,25.5,3,15.2,5,25.3,2,10.1
Narrabri,n.c.,4,29.8,1,7.5,1,7.6,0,0.0,3,22.7
Narrandera,n.c.,1,16.7,2,33.6,2,33.7,1,16.9,1,16.9
Narromine,n.c.,2,30.1,2,30.2,2,30.4,5,76.1,2,30.5
Newcastle,Stable,73,45.6,95,59.0,69,42.3,84,51.2,83,50.6
North Sydney,n.c.,7,9.9,15,20.8,21,28.6,12,16.2,14,18.9
Northern Beaches,Stable,29,11.0,30,11.3,34,12.6,42,15.5,44,16.2
Oberon,n.c.,2,37.5,0,0.0,0,0.0,0,0.0,1,18.5
Orange,n.c.,16,39.0,21,50.9,14,33.7,28,66.6,29,69.0
Parkes,n.c.,0,0.0,3,20.1,1,6.7,3,20.1,0,0.0
Parramatta,Stable,94,41.0,100,42.2,106,43.2,96,38.2,105,41.8
Penrith,Stable,95,47.9,98,48.4,97,47.1,92,44.0,111,53.1
Port Macquarie-Hastings,n.c.,9,11.3,9,11.2,20,24.4,20,24.1,12,14.4
Port Stephens,n.c.,16,22.7,11,15.5,4,5.6,16,22.0,15,20.6
Queanbeyan-Palerang Regional,n.c.,4,7.0,6,10.4,8,13.4,13,21.7,6,10.0
Randwick,Down 13.6% per year,48,32.6,51,34.1,49,32.1,33,21.4,28,18.2
Richmond Valley,n.c.,10,43.2,7,30.1,4,17.1,1,4.3,10,42.7
Ryde,n.c.,13,11.0,8,6.6,17,13.6,22,17.3,21,16.5
Shellharbour,n.c.,22,31.5,17,24.1,22,30.8,14,19.4,14,19.4
Shoalhaven,n.c.,24,23.8,18,17.6,18,17.4,18,17.2,23,22.0
Singleton,n.c.,6,25.4,5,21.2,4,17.0,2,8.5,4,17.1
Snowy Monaro Regional,n.c.,1,4.9,0,0.0,0,0.0,0,0.0,3,14.5
Snowy Valleys,n.c.,1,6.8,1,6.8,1,6.9,0,0.0,3,20.6
Strathfield,n.c.,18,43.3,12,28.1,17,38.5,12,26.6,12,26.6
Sutherland Shire,n.c.,23,10.2,26,11.5,18,7.9,26,11.3,42,18.3
Sydney,Down 9.8% per year,309,143.1,268,118.8,253,107.8,318,132.4,227,94.5
Tamworth Regional,n.c.,15,24.8,18,29.5,20,32.4,24,38.6,16,25.7
Temora,n.c.,1,16.2,0,0.0,0,0.0,1,15.9,1,15.9
Tenterfield,n.c.,0,0.0,2,29.9,1,15.0,0,0.0,0,0.0
The Hills Shire,n.c.,24,14.9,17,10.4,11,6.4,16,9.3,29,16.8
Tweed,n.c.,13,14.0,14,14.9,13,13.7,20,20.8,19,19.8
Unincorporated Far West,n.c.,0,n.c.,0,n.c.,2,n.c.,0,n.c.,0,n.c.
Upper Hunter Shire,n.c.,2,13.9,0,0.0,0,0.0,0,0.0,0,0.0
Upper Lachlan Shire,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Uralla,n.c.,1,16.1,1,16.3,0,0.0,1,16.5,0,0.0
Wagga Wagga,n.c.,16,25.2,18,28.2,26,40.3,14,21.6,18,27.8
Walcha,n.c.,1,32.0,0,0.0,0,0.0,0,0.0,0,0.0
Walgett,n.c.,2,31.2,0,0.0,0,0.0,0,0.0,1,16.5
Warren,n.c.,0,n.c.,0,n.c.,0,n.c.,1,n.c.,2,n.c.
Warrumbungle Shire,n.c.,1,10.4,2,21.0,0,0.0,0,0.0,2,21.3
Waverley,n.c.,12,16.8,12,16.5,16,21.7,11,14.8,20,27.0
Weddin,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wentworth,n.c.,0,0.0,2,28.7,3,42.9,3,42.6,0,0.0
Willoughby,n.c.,11,14.3,9,11.5,13,16.3,23,28.6,15,18.7
Wingecarribee,n.c.,5,10.3,4,8.1,1,2.0,4,7.9,5,9.9
Wollondilly,n.c.,2,4.1,5,9.9,4,7.7,7,13.4,1,1.9
Wollongong,Stable,71,34.0,61,28.9,81,37.8,81,37.5,58,26.8
Woollahra,n.c.,3,5.2,3,5.2,1,1.7,5,8.5,3,5.1
Yass Valley,n.c.,1,6.1,1,6.0,0,0.0,2,11.8,0,0.0
